ncols	75																																																																									
nrows	119																																																																									
xllcorner	230814.528																																																																									
yllcorner	9616990.319																																																																									
cellsize	250																																																																									
NODATA_value	-9999																																																																								
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	11	10	11	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	11	10	10	10	10	10	11	11	10	11	10	11	10	10	10	11	10	10	10	10	10	10	11	10	10	10	10	10	11	10	10	10	10
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	10	11	10	10	10	10	10	10	11	10	10	10	10	10	10	10	11	11	10	10	10	10	11	10	10	11	11	10	11	10	10	10	10	10	10	10	10	11	11	10	11	10	10	10	10	10	10	10	10	10
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	10	11	10	11	10	10	11	10	11	10	10	10	11	11	11	10	10	10	11	10	11	10
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	11	11	11	10	10	10	10	10	10	11	10	10	10	11	11	11	11	11	11	10	10	10	11	10	10	10
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	11	10	11	10	10	11	10	10	11	10	10	10	10	10	10	10	10	11	10	10	10	10	11	10	10	10	10	10	10	11	11	10	11	10	10	11	11	11	11	10	10	11	10	11	11	10	10	11	10	10	10	10	10	10
10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	11	11	10	10	10	10	11	11	10	10	11	10	11	10	11	10	10	10	10	11	10	10	10	10
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	11	11	11	10	10	10	11	10	10	10	10	10	10	10	10	11	10	11	11	11	10	10	10	11	10	10	10
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	11	11	11	11	11	11	10	10	10	10	11	11	11	10	10	10	11	11	10	10	10	10	10	10	10	10
10	10	10	10	10	10	10	10	10	10	10	10	11	11	10	10	10	10	11	10	10	10	10	11	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	11	11	10	10	10	10	10	10	10	11	11	11	10	11	10	10	10	10	11	10	10	10	10
10	10	10	10	10	10	10	10	11	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	11	10	11	11	10	10	10	11	11	11	11	10	11	10	10	11	10	10	10	10	10	10	10
10	10	10	10	10	10	10	11	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	10	10	10	11	10	11	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	11	10	10
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	11	11	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	11	11	10	10	10	10	10	10	11	11	11	10	10	10	10	10	11	10	10	10	10	10
10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	10	10	10	11	10	10	10	10	10	10	10	11	10	10	10	10	10	11	10	11	10	10	10	10	10
10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	11	10	10	11	10	10	10	10	10	10	11	10	10	10	10	10	11	10	10	10	10	10	10	10
10	10	10	10	10	11	10	10	10	10	10	11	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	10	10	10	11	11	11	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	11
10	10	10	10	11	11	10	10	10	10	11	11	10	10	10	10	10	11	10	10	10	10	10	10	11	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	10	10	11	11	10	10	11	10	10	10	10	10	10
10	10	10	10	10	10	10	10	10	10	11	11	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	11	11	10	11	10	10	11	10	10	10	10	10	10	10	10
10	10	10	10	10	10	10	10	10	11	10	11	10	11	10	11	10	10	10	11	10	10	10	10	10	10	10	10	10	11	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10
10	10	10	10	10	10	10	11	11	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10
10	10	10	10	10	10	10	10	11	10	11	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	11	10	10	10	10	10	10	10
10	10	10	10	11	10	10	11	10	11	11	11	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	11	10	10	10	11	10	10	10	10	10
10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	11	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	11	10	10	10
10	10	10	10	10	11	10	10	10	10	10	10	11	10	11	10	10	10	10	10	10	10	11	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10
10	10	10	10	11	10	10	10	10	11	10	11	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	11	10	10	10	10	10	10	10	10	11	10	10	10	10
10	10	10	10	11	10	10	10	10	11	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	11	10	11	10	10	10	10	10	10	10	10	10
10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	11	11	10	10	11	11	11	10	10	10	10	10	10	10	10	10	10	10
10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	11	11	11	10	10	10	10	10	10	10	10	10
